DOE,Type,X1,X2_1,X3,X4,left_r,left_x,left_y,right_r,right_x,right_y,contact1x,contact2x,contact3x
DOE0,Step0,0.016667,125,200,0.5,0.000273,-0.000048,0.00025,0.000583,0.001874,0.000736,-0.000326,-0.000159,0.001555607
DOE1,Step1,0.016667,125,200,0.5,0.000361,0.0000521,0.000322,0.000453,0.001875,0.000607,-0.000295,-0.000113,0.001577096
DOE2,Step1,0.016667,125,200,0.5,0.000529,0.000197501,0.000439,0.000391,0.0019,0.000547,-0.000279,-0.0000969,0.00160619
DOE3,Step1,0.015334,115,200,0.5,0.00021,0.0000762,0.000183,0.000536,0.001845,0.000678,-0.000145,-0.0000251,0.001541851
DOE4,Step1,0.018001,135,200,0.5,0.000222,-0.000231756,0.000211,0.000722,0.001928,0.000883,-0.000463,-0.0003,0.001569345
DOE5,Step2,0.027778,125,190,0.5,0.000218,-0.000180682,0.000204,0.000602,0.001873,0.000755,-0.000407,-0.0000246,0.001558111
DOE6,Step2,0.027778,125,210,0.5,0.000231,0.0000473,0.000213,0.000671,0.001885,0.00082,-0.000195,-0.0000449,0.001542047
DOE7,Step2,0.027778,125,200,0.3,0.00021,-0.000108985,0.000203,0.000649,0.001676,0.0008,-0.000328,-0.000176,0.00134742
DOE8,Step2,0.011904,125,200,0.7,0.000247,-0.0000305,0.000229,0.000716,0.002103,0.000865,-0.000284,-0.000126,0.001751817
DOE9,Test,0.016667,125,200,0.5,0.000336,0.0000162,0.000305,0.000524,0.001873,0.000678,-0.000312,-0.000128,0.001563646
DOE10,Test,0.016,120,200,0.5,0.000251,0.0000167,0.000227,0.000053,0.00184,0.000681,-0.000244,-0.0000816,0.001548095
DOE11,Test,0.016667,125,195,0.5,0.000259,-0.0000951,0.000241,0.000725,0.001909,0.000873,-0.00036,-0.000193,0.001553789
DOE12,Test,0.013889,125,200,0.6,0.000236,-0.0000435,0.000224,0.000485,0.001926,0.000646,-0.000286,-0.000115,0.001653761
